epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5157,1.8504,3.43922,1.87794,0.25883,0.42075,0.30786,0.12785,2.13706,2.99948,2.20985,0.000329114,0.000329114,0.000329114
2,76.525,1.72721,2.09089,1.74942,0.50972,0.21684,0.15669,0.0519,2.7059,4.95092,2.75744,0.000655889,0.000655889,0.000655889
3,114.207,1.76239,2.06252,1.77926,0.51016,0.33925,0.2918,0.11311,2.2323,3.21378,2.31754,0.000976064,0.000976064,0.000976064
4,152.787,1.72354,1.92557,1.75614,0.3091,0.4435,0.3045,0.11579,2.10271,2.44294,2.23196,0.0009703,0.0009703,0.0009703
5,191.362,1.71193,1.90233,1.73733,0.36555,0.49915,0.38169,0.15367,2.01819,2.26261,2.08982,0.0009604,0.0009604,0.0009604
6,229.224,1.67048,1.83015,1.7258,0.35457,0.49733,0.39212,0.17184,2.01788,2.16136,2.18664,0.0009505,0.0009505,0.0009505
7,267.934,1.63192,1.76286,1.67904,0.61514,0.38579,0.3916,0.1653,2.06331,2.35593,2.18338,0.0009406,0.0009406,0.0009406
8,306.48,1.62003,1.75205,1.67869,0.46199,0.50288,0.48909,0.22949,1.83495,1.97501,1.94249,0.0009307,0.0009307,0.0009307
9,345.962,1.5872,1.70785,1.66021,0.57129,0.52389,0.51816,0.22447,1.88259,1.84012,1.94363,0.0009208,0.0009208,0.0009208
10,384.987,1.59177,1.67699,1.65294,0.45359,0.45153,0.43019,0.19236,1.96652,2.12319,1.96661,0.0009109,0.0009109,0.0009109
11,424.105,1.5772,1.72137,1.65734,0.62373,0.4839,0.52582,0.24499,1.86513,1.90905,1.92152,0.000901,0.000901,0.000901
12,465.129,1.55654,1.6516,1.63301,0.68759,0.47596,0.52108,0.24033,1.86767,1.91094,1.94433,0.0008911,0.0008911,0.0008911
13,505.431,1.54136,1.61698,1.62995,0.65642,0.3994,0.44199,0.19826,2.0051,2.16211,2.00101,0.0008812,0.0008812,0.0008812
14,546.248,1.56143,1.64973,1.63443,0.59787,0.57953,0.62197,0.31129,1.69068,1.59404,1.80155,0.0008713,0.0008713,0.0008713
15,587.451,1.51305,1.61437,1.61804,0.47502,0.55702,0.53801,0.23956,1.93114,1.75035,1.93944,0.0008614,0.0008614,0.0008614
16,628.311,1.49663,1.55669,1.59776,0.63769,0.5562,0.62392,0.31035,1.68272,1.58312,1.7961,0.0008515,0.0008515,0.0008515
17,669.194,1.49598,1.52776,1.5907,0.58417,0.52265,0.62677,0.30597,1.68981,1.64423,1.80406,0.0008416,0.0008416,0.0008416
18,709.957,1.4865,1.52817,1.58904,0.52191,0.61333,0.62865,0.30033,1.71956,1.58197,1.82786,0.0008317,0.0008317,0.0008317
19,750.438,1.4812,1.52339,1.57845,0.64612,0.56096,0.61699,0.29204,1.71231,1.6517,1.79975,0.0008218,0.0008218,0.0008218
20,791.013,1.46644,1.50192,1.58167,0.5578,0.56422,0.59608,0.28674,1.7814,1.61393,1.85632,0.0008119,0.0008119,0.0008119
21,832.606,1.48781,1.52792,1.58338,0.69387,0.51814,0.59038,0.2974,1.72786,1.7271,1.80177,0.000802,0.000802,0.000802
22,873.123,1.47595,1.49599,1.57775,0.54749,0.60091,0.6089,0.28989,1.81741,1.71826,1.86449,0.0007921,0.0007921,0.0007921
23,913.908,1.43547,1.46649,1.55913,0.5837,0.61498,0.65488,0.33944,1.68297,1.55469,1.80895,0.0007822,0.0007822,0.0007822
24,954.947,1.45863,1.45192,1.58053,0.63741,0.61016,0.66219,0.33371,1.66998,1.54507,1.80885,0.0007723,0.0007723,0.0007723
25,995.96,1.44875,1.45724,1.5749,0.60855,0.561,0.61833,0.29564,1.77795,1.62893,1.81283,0.0007624,0.0007624,0.0007624
26,1036.54,1.44859,1.46515,1.57752,0.60762,0.62451,0.65254,0.32591,1.70731,1.52365,1.83651,0.0007525,0.0007525,0.0007525
27,1077.21,1.41051,1.41715,1.54045,0.52786,0.65871,0.6483,0.33006,1.65824,1.55172,1.77691,0.0007426,0.0007426,0.0007426
